host_time,elapsed_s,latency_s,uptime_ms
1789246372.291,4239.4,0.0126,4408918
1789246382.296,4249.4,0.0116,4418925
1789246392.300,4259.4,0.0082,4428932
1789246402.305,4269.4,0.0157,4438939
1789246412.306,4279.4,0.0114,4448942
1789246422.311,4289.4,0.0122,4458948
1789246432.314,4299.4,0.0122,4468954
1789246442.315,4309.4,0.0117,4478956
1789246452.317,4319.4,0.0117,4488961
1789246462.321,4329.4,0.0068,4498967
1789246472.325,4339.4,0.0151,4508973
1789246482.330,4349.4,0.0115,4518980
1789246492.335,4359.4,0.0115,4528988
1789246502.336,4369.4,0.0103,4538991
1789246512.340,4379.4,0.0120,4548997
1789246522.341,4389.4,0.0161,4559000
1789246532.346,4399.4,0.0062,4569007
1789246542.351,4409.4,0.0107,4579014
1789246552.356,4419.4,0.0122,4589021
1789246562.359,4429.4,0.0118,4599027
1789246572.363,4439.4,0.0114,4609032
1789246582.368,4449.5,0.0120,4619039
1789246592.372,4459.5,0.0127,4629045
1789246602.377,4469.5,0.0105,4639052
1789246612.381,4479.5,0.0162,4649058
1789246622.385,4489.5,0.0151,4659065
1789246632.389,4499.5,0.0174,4669071
1789246642.394,4509.5,0.0113,4679078
1789246652.398,4519.5,0.0164,4689084
1789246662.401,4529.5,0.0166,4699091
1789246672.403,4539.5,0.0138,4709097
1789246682.405,4549.5,0.0122,4719103
1789246692.405,4559.5,0.0063,4729105
1789246702.408,4569.5,0.0070,4739111
1789246712.412,4579.5,0.0075,4749118
1789246722.416,4589.5,0.0062,4759123
1789246732.421,4599.5,0.0108,4769130
1789246742.424,4609.5,0.0131,4779136
1789246752.428,4619.5,0.0100,4789142
1789246762.431,4629.5,0.0068,4799148
1789246772.436,4639.5,0.0107,4809154
1789246782.441,4649.5,0.0145,4819161
1789246792.446,4659.5,0.0120,4829168
1789246802.451,4669.5,0.0175,4839175
1789246812.453,4679.5,0.0070,4849179
1789246822.455,4689.5,0.0120,4859184
1789246832.458,4699.5,,
1789246842.462,4709.5,0.0093,4879195
1789246852.467,4719.6,0.0133,4889202
1789246862.469,4729.6,0.0117,4899206
1789246872.472,4739.6,0.0141,4909211
1789246882.475,4749.6,0.0117,4919216
1789246892.479,4759.6,0.0119,4929223
1789246902.482,4769.6,0.0164,4939228
1789246912.485,4779.6,0.0120,4949233
1789246922.490,4789.6,0.0119,4959239
1789246932.495,4799.6,0.0179,4969247
1789246942.496,4809.6,0.0122,4979250
1789246952.499,4819.6,0.0178,4989255
1789246962.502,4829.6,0.0145,4999260
1789246972.507,4839.6,0.0170,5009267
1789246982.511,4849.6,0.0168,5019273
1789246992.513,4859.6,0.0162,5029278
1789247002.518,4869.6,0.0067,5039285
1789247012.521,4879.6,0.0119,5049290
1789247022.523,4889.6,0.0064,5059294
1789247032.527,4899.6,0.0132,5069300
1789247042.529,4909.6,0.0124,5079304
1789247052.535,4919.6,0.0132,5089312
1789247062.537,4929.6,0.0120,5099316
1789247072.539,4939.6,0.0079,5109320
1789247082.540,4949.6,0.0133,5119324
1789247092.542,4959.6,0.0089,5129327
1789247102.545,4969.6,0.0135,5139333
1789247112.551,4979.6,0.0086,5149340
1789247122.555,4989.6,0.0085,5159347
1789247132.557,4999.6,0.0092,5169351
1789247142.562,5009.6,0.0067,5179358
1789247152.567,5019.7,0.0132,5189365
1789247162.569,5029.7,0.0064,5199369
1789247172.572,5039.7,0.0148,5209375
1789247182.573,5049.7,0.0060,5219378
1789247192.575,5059.7,0.0130,5229381
1789247202.580,5069.7,0.0104,5239388
1789247212.583,5079.7,0.0098,5249394
1789247222.589,5089.7,0.0148,5259402
1789247232.592,5099.7,0.0060,5269407
1789247242.596,5109.7,0.0162,5279414
1789247252.601,5119.7,0.0090,5289420
1789247262.605,5129.7,0.0059,5299426
1789247272.607,5139.7,0.0147,5309430
1789247282.611,5149.7,0.0111,5319437
1789247292.616,5159.7,0.0091,5329443
1789247302.621,5169.7,0.0116,5339451
1789247312.626,5179.7,0.0126,5349458
1789247322.631,5189.7,0.0107,5359465
1789247332.635,5199.7,0.0135,5369471
